Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding","Promoter Holding Change – 6M ","Domestic Institutional Holding","DII Holding Change – 6M","Foreign Institutional Holding","FII Holding Change – 6M","Retail Investor Holding","Pledged Promoter Holdings"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","20.827391585519074","-4.77645155798308","22.031178673276465","-6.189022138931271","27.239601992933366","-5.015472687342111","8.318013489700652","0"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","72.29704651102202","0","9.635671354647581","1.0539283291992199","12.717406113335814","-0.3371493248504329","4.451126327490346","0.3452558795216456"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","0","0","45.3652268663181","0.5707109902219543","44.1568849969044","-0.6057519231961237","6.725316487744679","0"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","61.900675301370775","0","11.580427217302104","-0.1654736746292862","14.363083207618773","0.320386618802468","10.61321647867109","0"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","13.29816447511444","0.1873054181125795","29.714589518425207","1.7137176176721454","30.80535868941614","-0.4962051649098811","7.459299653805372","0"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","0","0","42.05266567779677","-0.34147576003088176","43.320415630230634","0.6322948733092915","11.127877734174534","0"
State Bank of India,SBIN,"Public Banks","536770.78477043","57.47144894572897","-0.027769123130539697","24.83490891857993","-0.5202479276486756","10.36306389989102","0.2734404136114268","6.156561688363227","0"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","55.02334063733346","-0.10997241202568375","19.93437958308857","1.045755735738009","20.978828538455215","-0.897343777447773","1.449214208052517","0"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","55.91481292083562","0.050950958953777103","12.989079270310027","0.8318524652409689","19.165082833058378","-1.3314637881055198","8.10448741579018","0"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","96.49999999264823","0","0.8330379312496765","-0.08532445789105592","0.08153191896314335","-0.08449361173925904","2.047002799376986","0"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","25.949660113934776","-0.010728963069531972","21.348867575320842","1.384995477466063","39.43059010236639","-1.4958188579989056","4.523449259599292","0"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","0","0","38.768782427270395","-1.8525407731754484","24.4839959283782","2.374370514637299","18.658060613701373","0"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","52.62576595386026","0","10.008731045971238","1.2261265739571812","17.012457253472196","-1.5509437318449208","12.538738334666096","3.9021490030747468"
